tag,type,question,translated_question,options,translated_options
age,text,Enter your age,તમારી ઉંમર દાખલ,text,['લખાણ']
gender,single,Select your gender,તમારી જાતિ પસંદ કરો,"Male,Female,Other","['નર', 'સ્ત્રી', 'અન્ય']"
fever,single,Do you have fever?,તમને તાવ છે?,"No Fever (96°F-98.6°F),Minor Fever (98.6°F-102°F),High Fever (>102°F),Don’t Know","['કોઈ તાવ નથી (96 °F - 98.6 °F)', 'સાધારણ તાવ (98.6 °F 102 °F)', 'ભારે તાવ (>102 °F)', 'ખબર નથી']"
cold,multiple,Any cold related symptoms?,ઠંડી - શરદી ના લક્ષણો? (લાગુ પડતા બધ્ધા ઓપ્શન્સ સિલેક્ટ કરી સેન્ડ બટન દબાવો),"running nose,cough,sore throat,sneezing,none of these","['વહેતુ નાક', 'ઉધરસ', 'સુકુ ગળું', 'છીંક', 'આમાંથી કોઈ નહિ']"
breathing,multiple,Any breathing related challenges?,શ્વાસ સબંધી તકલીફ ? (લાગુ પડતા બધ્ધા ઓપ્શન્સ સિલેક્ટ કરી સેન્ડ બટન દબાવો),"Shortness of breath,Difficulty in breathing,Continuous pain in the chest, none of these","['હાંફ ચઢવી', 'શ્વાસ લેવામાં મુશ્કેલી', 'છાતીમાં સતત દુખાવો', 'આમાંથી કોઈ નહિ']"
travel,single,Have you or your closed one travelled internationally in last 1 month?,તમે અથવા તમારા ફેમિલી મેમ્બર એ છેલ્લા 1 મહિનામાં કોઈ આંતરરાષ્ટ્રીય પ્રવાસ કર્યો છે?,"Yes,No","['હા', 'ના ']"
exposure,single,Did you come in close contact with any infected person or someone who travelled abroad recently,અંદાજે તમે કોઇ ચેપ વાળી વ્યક્તિ અથવા તાજેતરમાં વિદેશ પ્રવાસએ ગયેલા વ્યક્તિ સાથે ગાઢ સંપર્કમાં આવ્યા હતા?,"Yes,No","['હા', 'ના ']"
ailments,multiple,Are you suffering from long term ilness?,તમે કોઈ લાંબા ગાળાની બીમારી છે? (લાગુ પડતા બધ્ધા ઓપ્શન્સ સિલેક્ટ કરી સેન્ડ બટન દબાવો),"Hypertension(BP),Diabetes,Asthma,Heart disease,Kidney disease, none of these","['હાઇપરટેન્શન (BP)', 'ડાયાબિટીસ', 'અસ્થમા', 'હૃદય રોગ', 'કિડની રોગ', 'આમાંથી કોઈ નહિ']"
progress,single,How has your condition changed over last 2 days?,છેલ્લા બે દિવસ માં તમારું સ્વાસ્થ્ય કેવું રહ્યું છે?,"Health improved,Health worsened, No change in health","['આરોગ્ય માં સુધારો', 'આરોગ્ય વધુ ખરાબ થયું', 'કોઈ ફેરફાર નહિ']"
contact,single,Before the lockdown how many people do you meet daily?,લોકડાઉન પહેલાં તમે અસરે દૈનિક કેટલા લોકોને મળવાનું રહેતું?,"less than 5,5-10,10-20,more than 20","['5 થી ઓછા', '5-10', '10-20', '20 થી વધુ']"
nature,single,Select nature of your profession,તમારા કામ ની પ્રકૃતિ,"['Student', 'Housewife', 'un-employeed', 'Business Owner', 'Retail shop', 'IT job', 'bank', 'teacher', 'sales/marketing', 'doctor/medical staff', 'Others']","['વિદ્યાર્થી', 'ગૃહિણી', 'બેરોજગાર', 'વેપારી', 'રિટેલ સ્ટોર્સ', 'આઇટી', 'બેન્ક', 'શિક્ષક', 'વેચાણ / માર્કેટિંગ', 'ડોક્ટર / તબીબી સ્ટાફ', 'અન્ય']"
profession,text,Describe your profession,તમારા વ્યવસાય વર્ણવો,text,['લખાણ']
extra,multiple,Do u have any below symotoms?,બીજી કોઈ તકલીફ? (લાગુ પડતા બધ્ધા ઓપ્શન્સ સિલેક્ટ કરી સેન્ડ બટન દબાવો),"vomiting,blood vomiting,Diarrohea,weakness,none of these","['ઉલટી', 'લોહી ની ઉલટી', 'ઝાડા', 'અશક્તિ', 'આમાંથી કોઈ નહિ']"
medication,multiple,Are you taking medications for any of the following?,અમાની કોઈ પણ ટ્રીટમેન્ટ કે મેડિકેશન ચાલુ છે ? (લાગુ પડતા બધ્ધા ઓપ્શન્સ સિલેક્ટ કરી સેન્ડ બટન દબાવો),"Chemotherapy, Radiotherapy, TB, Pneumonia, Organ transplant","['કિમોથેરાપી', 'રેડિયોચિકિત્સા', 'ટીબી', 'ન્યુમોનિયા', 'અંગ પ્રત્યારોપણ']"
immunity,single,How would you guage your immunity?,અંદાજે તમારી રોગ પ્રતિકારક શક્તિ કેવી છે?,"Low Immunity, Medium Immunity, Good immunity","['ઓછી રોગ પ્રતિકારક શક્તિ', 'મધ્યમ રોગ પ્રતિકારક શક્તિ', 'સારી રોગ પ્રતિકારક શક્તિ']"
