tag,type,English,हिंदी,ગુજરાતી,বাংলা,தமிழ்,मराठी,తెలుగు,ಕನ್ನಡ,options
disclaimer,single,single<br 1000>This self assessment scan has been made on the basis of WHO and Govt of India guidelines. This interaction should not be taken as expert medical advice.<ar>I understand,single<br 1000>यह स्व-मूल्यांकन स्कैन डब्ल्यूएचओ और भारत सरकार के दिशानिर्देशों पर आधारित है। इस बातचीत को विशेषज्ञ चिकित्सा सलाह के रूप में नहीं लिया जाना चाहिए।<ar> मै समझता हुँ,single<br 1000>આ સ્વમૂલ્યાંકન સ્કેન ડબ્લ્યુએચઓ અને ભારત સરકારના માર્ગદર્શિકાના આધારે બનાવવામાં આવ્યું છે. આ વાતચીત નિષ્ણાત તબીબી સલાહ તરીકે લેવી જોઈએ નહીં.<ar>હું સમજુ છુ,single<br 1000>এই স্ব-মূল্যায়ন স্ক্যানটি ডাব্লুএইচও এবং ভারত সরকারের নির্দেশিকা ভিত্তিক এই ইন্টারঅ্যাকশন বিশেষজ্ঞের পরামর্শ হিসাবে গ্রহণ করা উচিত নয়<ar>আমি বুঝেছি<ar>আমি বুঝেছি,single<br 1000>WHO மற்றும் இந்திய அரசாங்க வழிகாட்டுதலின் அடிப்படையில் இந்த சுய பரிசோதனை செய்யப்பட்டுள்ளது. இதை மருத்துவ நிபுணரின் ஆலோசனையாக எடுத்துக் கொள்ளக்கூடாது.<ar>எனக்கு புரிகிறது<ar>எனக்கு புரிகிறது,single<br 1000>हे स्व-मूल्यांकन स्कॅन डब्ल्यूएचओ आणि भारत सरकारच्या मार्गदर्शक तत्त्वांच्या आधारे केले गेले आहे. हा संवाद तज्ञ वैद्यकीय सल्ला म्हणून घेऊ नये.<ar>मला समजले,single<br 1000>ఈ స్వీయ-అంచనా స్కాన్ WHO మరియు భారత ప్రభుత్వ మార్గదర్శకాలపై ఆధారపడి ఉంటుంది. ఈ పరస్పర చర్యను నిపుణుల వైద్య సలహాగా తీసుకోకూడదు<ar>నాకు అర్థమైనది <ar>నాకు అర్థమైనది,single<br 1000>ಈ ಸ್ವ-ಮೌಲ್ಯಮಾಪನ ಸ್ಕ್ಯಾನ್ WHO ಮತ್ತು ಭಾರತ ಸರ್ಕಾರದ ಮಾರ್ಗಸೂಚಿಗಳನ್ನು ಆಧರಿಸಿದೆ. ಈ ಸಂವಾದವನ್ನು ತಜ್ಞ ವೈದ್ಯಕೀಯ ಸಲಹೆಯಾಗಿ ತೆಗೆದುಕೊಳ್ಳಬಾರದು.<ar>ನನಗೆ ಅರ್ಥವಾಗಿದೆ,"['I understand','I do not understand']"
age,single,single<br 1500>Select your age<ar>0-10<ar>10-20<ar>20-30<ar>40-50<ar>50-60<ar>60-70<ar>70-100,single<br 1500>अपनी आयु दर्ज करें<ar>0-10<ar>10-20<ar>20-30<ar>40-50<ar>50-60<ar>60-70<ar>70-100,single<br 1500>તમારી ઉંમર દાખલ<ar>0-10<ar>10-20<ar>20-30<ar>40-50<ar>50-60<ar>60-70<ar>70-100,single<br 1500>আপনার বয়স লিখুন<ar>0-10<ar>10-20<ar>20-30<ar>40-50<ar>50-60<ar>60-70<ar>70-100,single<br 1500>உங்கள் வயது உள்ளிடவும்<ar>0-10<ar>10-20<ar>20-30<ar>40-50<ar>50-60<ar>60-70<ar>70-100,single<br 1500>आपले वय प्रविष्ट करा<ar>0-10<ar>10-20<ar>20-30<ar>40-50<ar>50-60<ar>60-70<ar>70-100,single<br 1500>మీ వయస్సు ఎంటర్ చేయండి<ar>0-10<ar>10-20<ar>20-30<ar>40-50<ar>50-60<ar>60-70<ar>70-100,single<br 1500>ನಿಮ್ಮ ವಯಸ್ಸು ನಮೂದಿಸಿ<ar>0-10<ar>10-20<ar>20-30<ar>40-50<ar>50-60<ar>60-70<ar>70-100,"['0-10', '10-20', '20-30', '40-50', '50-60', '60-70', '70-100']"
gender,single,single<br 1500>Select your gender<ar>Male<ar>Female<ar>Other,single<br 1500>अपना लिंग चुनें<ar>पुरुष<ar>महिला<ar>अन्य,single<br 1500>તમારી જાતિ પસંદ કરો<ar>પુરુષ<ar>સ્ત્રી<ar>અન્ય,single<br 1500>আপনার লিঙ্গ নির্বাচন করুন<ar>পুরুষ<ar>নারী<ar>অন্যান্য,single<br 1500>உங்கள் பாலினம் தேர்ந்தெடுக்கவும்<ar>ஆண்<ar>பெண்<ar>மற்ற,single<br 1500>आपले लिंग निवडा<ar>पुरुष<ar>स्त्री<ar>इतर,single<br 1500>మీ లింగం ఎంచుకోండి<ar>పురుషుడు<ar>స్త్రీ<ar>ఇతర,single<br 1500>ನಿಮ್ಮ ಲಿಂಗ ಆಯ್ಕೆ<ar>ಗಂಡು<ar>ಹೆಣ್ಣು<ar>ಇತರೆ,"['Male', 'Female', 'Other']"
fever,single,single<br 1500>Do you have fever?<ar>No fever (96°F-98.6°F)<ar>Minor fever (98.6°F-102°F)<ar>High fever (>102°F)<ar>Don’t know,single<br 1500>क्या आपको बुखार है?<ar>कोई बुखार नहीं (96°F - 98.6°F)<ar>साधारण बुखार (98.6°F - 102°F)<ar>तेज बुखार (> 102 °F)<ar>पता नहीं,single<br 1500>તમને તાવ છે?<ar>કોઈ તાવ નથી (96 °F - 98.6 °F)<ar>સાધારણ તાવ (98.6 °F 102 °F)<ar>ભારે તાવ (>102 °F)<ar>ખબર નથી,single<br 1500>আপনি যদি একটি জ্বর আছে?<ar>কোন জ্বর (96°F - 98.6°F)<ar>সাধারণ জ্বর (98.6°F – 102°F)<ar>উচ্চ জ্বর (> 102 °F)<ar>জানি না,single<br 1500>உங்களுக்கு காய்ச்சல் இருக்கிறதா?<ar> காய்ச்சல் இல்லை (96°F – 98.6°F)<ar>லேசான காய்ச்சல் (98.6°F – 102°F)<ar>அதிக காய்ச்சல் (> 102 °F)<ar>தெரியாது,single<br 1500>तुम्हाला ताप आहे का?<ar>ताप नाही (96°F – 98.6°F)<ar>सामान्य ताप (98.6°F – 102°F)<ar>उच्च ताप (> 102 °F)<ar>माहित नाही,single<br 1500>మీకు జ్వరము ఉందా<ar>మాములు జ్వరము(96°F-98.6°F)<ar>ఎక్కువ జ్వరము(98.6°F-102°F)<ar>చాల ఎక్కువ జ్వరము(>102°F)<ar>తెలియదు,single<br 1500>ನೀವು ಜ್ವರ ಹೊಂದಿದ್ದೀರಾ?<ar>ಯಾವುದೇ ಜ್ವರ (96°F-98.6°F)<ar>ಸಾಮಾನ್ಯ ಜ್ವರ (98.6°F-102°F)<ar>ಹೈ ಜ್ವರ (>102°F)<ar>ಗೋಥಿಲಾ,"['No fever (96°F-98.6°F)', 'Minor fever (98.6°F-102°F)', 'High fever (>102°F)', 'Don’t know']"
cold,multiple,multiple<br 1500>Any cold or flu related symptoms? (Select all relevant options and click send)<ar>Running nose<ar>Cough<ar>Sore throat<ar>Sneezing<ar>None of these,multiple<br 1500>सर्दी या जुकाम संबंधित लक्षण? (सारे उचित विकल्प चुन कर सेंड बटन दबाये)<ar>बहता नाक<ar>खांसी<ar>गले में खराश<ar>छींक आना<ar>इनमें से कोई नहीं,multiple<br 1500>ઠંડી - શરદી ના કોઈ લક્ષણો? (લાગુ પડતા બધ્ધા ઓપ્શન્સ સિલેક્ટ કરી સેન્ડ બટન દબાવો)<ar>વહેતુ નાક<ar>ઉધરસ<ar>સુકુ ગળું<ar>છીંક<ar>આમાંથી કોઈ નહિ,multiple<br 1500>কোল্ড বা ফ্লু সংক্রান্ত উপসর্গ? (বোতাম টিপুন পাঠাতে সব যথাযথ অপশন নির্বাচন করুন)<ar>চলমান নাক<ar>কাশি<ar>গলা ব্যাথা<ar>হাঁচি<ar>এর মধ্যে কোনোটিই,multiple<br 1500>ஜலதோஷம் அல்லது காய்ச்சல் தொடர்பான அறிகுறிகள்? (பட்டனை அழுத்தி பொருத்தமான விருப்பத்தைத் தேர்ந்தெடுக்கவும்)<ar>இயங்கும் மூக்கு<ar>இருமல்<ar>புண் தொண்டை<ar>தும்மல் வரும்போது<ar>இவற்றில் எதுவுமே,multiple<br 1500>सर्दी किंवा फ्लू संबंधित लक्षणे? (बटण दाबा पाठविण्यासाठी सर्व योग्य पर्याय निवडा)<ar>वाहते नाक<ar>खोकला<ar>घसा खवखवणे किंव्हा दुखणे<ar>शिंका येणे<ar>यांपैकी काही नाही,multiple<br 1500>ఈ కింది వాటిలో మీకు ఉన్న అన్ని సమస్యలను ఎంచుకోండి<ar>జలుబు<ar>పొడి దగ్గు<ar>గొంతు లో మంట<ar>తుమ్ములు<ar>ఇవి లేవు,multiple<br 1500>ಶೀತ ಅಥವಾ ಫ್ಲೂ ರೋಗಲಕ್ಷಣಗಳು? (ಬಟನ್ ಒತ್ತಿ ಕಳುಹಿಸಲು ಎಲ್ಲಾ ಸೂಕ್ತ ಆಯ್ಕೆಗಳನ್ನು ಆಯ್ಕೆ ಮಾಡಿ)<ar>ಮೂಗು ಸೋರುವಿಕೆ<ar>ಕೆಮ್ಮು<ar>ನೋಯುತ್ತಿರುವ ಗಂಟಲು<ar>ಸೀನು<ar>ಇದ್ಯಾವುದೂ ಅಲ್ಲ,"['Running nose', 'Cough', 'Sore throat', 'Sneezing', 'None of these']"
breathing,multiple,multiple<br 1500>Any breathing related challenges? (Select all relevant options and click send)<ar>Shortness of breath<ar>Difficulty in breathing<ar>Continuous pain in the chest<ar>None of these,multiple<br 1500>फेफड़े या सांस लेने से संबंधित चुनौतियां? (सारे उचित विकल्प चुन कर सेंड बटन दबाये)<ar>सांस फूलना<ar>सांस लेने में दिक्कत<ar>छाती में सतत दर्द<ar>इनमें से कोई नहीं,multiple<br 1500>શ્વાસ સબંધી કોઈ તકલીફ ? (લાગુ પડતા બધ્ધા ઓપ્શન્સ સિલેક્ટ કરી સેન્ડ બટન દબાવો)<ar>હાંફ ચઢવી<ar>શ્વાસ લેવામાં મુશ્કેલી<ar>છાતીમાં સતત દુખાવો<ar>આમાંથી કોઈ નહિ,multiple<br 1500>ফুসফুস বা শ্বাসপ্রশ্বাস এর সাথে সম্পর্কিত চ্যালেঞ্জ? (বোতাম টিপুন পাঠাতে সব যথাযথ অপশন নির্বাচন করুন)<ar>শ্বাসকষ্ট<ar>সমস্যার প্রশ্বাস<ar>বুকে ক্রমাগত ব্যথা<ar>এর মধ্যে কোনোটিই,multiple<br 1500>நுரையீரல் அல்லது சுவாசப் தொடர்பான பிரச்சினைகள்? (பட்டனை அழுத்தி பொருத்தமான விருப்பத்தைத் தேர்ந்தெடுக்கவும்)<ar>மூச்சு திணறல்<ar>சுவாசிப்பதில் சிரமம்<ar>மார்பில் தொடர்ச்சியான வலி<ar>இவற்றில் ஏதுமில்லை,multiple<br 1500>फुफुसाच्या  किंवा श्वासा संबंधित तक्रारी? (बटण दाबा पाठविण्यासाठी सर्व योग्य पर्याय निवडा)<ar>दम लागणे<ar>श्वास घेण्यास त्रास होणे<ar>छातीत कायम दुखणे<ar>यांपैकी काहीच नाही  ,multiple<br 1500>ఊపిరితిత్తులు లేదు శ్వాస కి సంబంధించిని సమస్యలు ఏమైనా ఉన్నాయా? (అన్ని సంబంధిత వాటిని ఎంచుకోండి)<ar>గాలి పీల్చుకోలేకపోవడం<ar>ఆయాసము<ar>ఛాతి నొప్పి<ar>ఇవి లేవు,multiple<br 1500>ಶ್ವಾಸಕೋಶದ ಅಥವಾ ಉಸಿರಾಟ ಸಂಬಂಧಿಸಿದ ಸವಾಲುಗಳು? (ಬಟನ್ ಒತ್ತಿ ಕಳುಹಿಸಲು ಎಲ್ಲಾ ಸೂಕ್ತ ಆಯ್ಕೆಗಳನ್ನು ಆಯ್ಕೆ ಮಾಡಿ)<ar>ಉಸಿರಾಟದ ತೊಂದರೆ<ar>ಉಸಿರಾಟದ ಸಮಸ್ಯೆ<ar>ಎದೆಯಲ್ಲಿ ನಿರಂತರ ನೋವು<ar>ಇದ್ಯಾವುದು ಅಲ್ಲ,"['Shortness of breath', 'Difficulty in breathing', 'Continuous pain in the chest', 'None of these']"
travel,single,single<br 1500>Have you or your closed one travelled internationally in last 1 month?<ar>Yes<ar>No,single<br 1500>आप या आपके साथ रहने वाले लोग ने पिछले 1 महीने में विदेश यात्रा की है?<ar>हाँ<ar>नहीं,single<br 1500>તમે અથવા તમારા ફેમિલી મેમ્બર એ છેલ્લા 1 મહિનામાં કોઈ આંતરરાષ્ટ્રીય પ્રવાસ કર્યો છે?<ar>હા<ar>ના ,single<br 1500>অথবা আপনি যে ব্যক্তিদের সাথে বাস গত 1 মাসে বিদেশ ভ্রমন?<ar>হাঁ<ar>না,single<br 1500>நீங்களோ அல்லது உங்கள் நெருங்கியவர்களோ சர்வதேச அளவில் பயணம் செய்தீர்களா?<ar>ஆமாம்<ar>இல்லை,single<br 1500>आपण किव्हा आपल्या जवळपासच्या लोकांपैकी कोणीही गेल्या एका महिन्यात परदेशात जाऊन आला आहेत का?<ar>होय<ar>नाही,single<br 1500>గడిసిన ఒక్క నెల లో మీరు లేదా మీ దెగ్గరి వాలు ఎవరైనా విదేశీ ప్రయాణాలు లేదా ఎవరైనా వేదశాల నుంచి వచ్చారా <ar>అవును<ar>లేదు,single<br 1500>ನೀವು ಅಥವಾ ನಿಮ್ಮ ಜೊತೆ ಇರುವ ಜನರು ಕಳೆದ ಒಂದು ತಿಂಗಳ ವಿದೇಶದಲ್ಲಿ ಪ್ರಯಾಣ ಮಾಡಿದ್ದಾರೆಯೇ?<ar>ಹೌದು<ar>ಇಲ್ಲ,"['Yes', 'No']"
exposure,single,single<br 1500>Did you come in close contact with any infected person or someone who travelled abroad recently?<ar>Yes<ar>No,single<br 1500>संभावित तौर पे क्या आप किसी भी संक्रमित व्यक्ति या हाल ही में विदेश से आये हुए व्यक्ति के निकट संपर्क में आये हो?<ar>हाँ<ar>नहीं,single<br 1500>અંદાજે તમે કોઇ ચેપ વાળી વ્યક્તિ અથવા તાજેતરમાં વિદેશ પ્રવાસએ ગયેલા વ્યક્તિ સાથે ગાઢ સંપર્કમાં આવ્યા હતા?<ar>હા<ar>ના ,single<br 1500>সম্ভাব্য আপনি বিদেশে কোনো আক্রান্ত ব্যক্তির থেকে আসা বা সম্প্রতি দিতে ব্যক্তি সংস্পর্শে এসেছেন?<ar>হাঁ<ar>না,single<br 1500>பாதிக்கப்பட்ட எந்தவொரு நபருடனும் அல்லது சமீபத்தில் வெளிநாடு சென்ற ஒருவருடனும் நீங்கள் நெருங்கிய தொடர்புக்கு வந்தீர்களா?<ar>ஆமாம்<ar>இல்லை,single<br 1500>संभाव्य आपण कोणत्याही संक्रमित व्यक्ती किव्हा नुकत्याच परदेशातून परतलेल्या व्यक्तीच्या जवळीक संपर्कात आला आहेत का?<ar>होय<ar>नाही,single<br 1500>మీరు ఎవరైనా జబ్బు బారిన పడిన వ్యక్తులను లేదా విదేశాల నుంచి వచ్చిన వారిని కలిసారా ?<ar>అవును<ar>లేదు,single<br 1500>ನೀವು ಯಾವುದೇ ಸೋಂಕಿತ ವ್ಯಕ್ತಿ ಅಥವಾ ಇತ್ತೀಚೆಗೆ ವಿದೇಶ ಪ್ರವಾಸ ಮಾಡಿದವರೊಂದಿಗೆ ನಿಕಟ ಸಂಪರ್ಕಕ್ಕೆ ಬಂದಿದ್ದೀರಾ?<ar>ಹೌದು<ar>ಇಲ್ಲ,"['Yes', 'No']"
ailments,multiple,multiple<br 1500>Are you suffering from long term ilness? (Select all relevant options and click send)<ar>Hypertension(bp)<ar>Diabetes<ar>Asthma<ar>Heart disease<ar>Kidney disease<ar>None of these,multiple<br 1500>लंबे समय की कोई बीमारी से पीड़ित हैं? (सारे उचित विकल्प चुन कर सेंड बटन दबाये)<ar>ब्लड प्रेशर (BP)<ar>डायबिटीज<ar>दमा<ar>दिल की बीमारी<ar>गुर्दे की बीमारी<ar>इनमें से कोई नहीं,multiple<br 1500>તમને કોઈ લાંબા ગાળાની બીમારી છે? (લાગુ પડતા બધ્ધા ઓપ્શન્સ સિલેક્ટ કરી સેન્ડ બટન દબાવો)<ar>હાઇપરટેન્શન (BP)<ar>ડાયાબિટીસ<ar>અસ્થમા<ar>હૃદય રોગ<ar>કિડની રોગ<ar>આમાંથી કોઈ નહિ,multiple<br 1500>দীর্ঘ একটি রোগে ভুগছে করছেন আপনি? (বোতাম টিপুন পাঠাতে সব যথাযথ অপশন নির্বাচন করুন)<ar>হাইপারটেনশন (বিপি)<ar>ডায়াবেটিস<ar>এজমা<ar>হৃদরোগ<ar>কিডনি রোগ<ar>এর মধ্যে কোনোটিই,multiple<br 1500>நீங்கள் நீண்டகால நோயால் பாதிக்கப்படுகிறீர்களா? (பட்டனை அழுத்தி பொருத்தமான விருப்பத்தைத் தேர்ந்தெடுக்கவும்)<ar>இரத்த அழுத்தம் (BP)<ar>நீரிழிவு<ar>ஆஸ்துமா<ar>இதய நோய்<ar>சிறுநீரக நோய்<ar>இவற்றில் ஏதுமில்லை,multiple<br 1500>दीर्घ कालीन आजार आहे का? (बटण दाबा पाठविण्यासाठी सर्व योग्य पर्याय निवडा)<ar>रक्तदाब (बीपी)<ar>मधुमेह<ar>दमा<ar>हृदयरोग<ar>मूत्रपिंडाचा रोग<ar>यांपैकी काही नाही ,multiple<br 1500>దీర్ఘకాలిక వ్యాధులతో ఏమైనా ఉన్నాయా? (అన్ని సంబంధిత వాటిని ఎంచుకోండి)<ar>రక్తపోటు (బిపి)<ar>డయాబెటిస్<ar>ఆస్తమా<ar>గుండె సమస్యలు<ar>కిడ్నీ సమస్యలు<ar>ఏవి లేవు,multiple<br 1500>ದೀರ್ಘ ಕಾಯಿಲೆಯಿಂದ ನರಳುತ್ತಿದ್ದಾರೆ? (ಬಟನ್ ಒತ್ತಿ ಕಳುಹಿಸಲು ಎಲ್ಲಾ ಸೂಕ್ತ ಆಯ್ಕೆಗಳನ್ನು ಆಯ್ಕೆ ಮಾಡಿ)<ar>ರಕ್ತದೊತ್ತಡ (BP)<ar>ಮಧುಮೇಹ<ar>ಅಸ್ತಮಾ<ar>ಹೃದಯ ರೋಗ<ar>ಕಿಡ್ನಿ ರೋಗ<ar>ಇದ್ಯಾವುದೂ ಅಲ್ಲ,"['Hypertension(bp)', 'Diabetes', 'Asthma', 'Heart disease', 'Kidney disease', 'None of these']"
progress,single,single<br 1500>How has your condition changed over last 2 days?<ar>Health improved<ar>Health worsened<ar>No change in health,single<br 1500>पिछले 2 दिन में आपका स्वास्थ्य कैसा रहा है?<ar>स्वास्थ्य में सुधार<ar>स्वास्थ्य खराब हो गई<ar>स्वास्थ्य में कोई परिवर्तन नहीं,single<br 1500>છેલ્લા બે દિવસ માં તમારું સ્વાસ્થ્ય કેવું રહ્યું છે?<ar>આરોગ્ય માં સુધારો<ar>આરોગ્ય વધુ ખરાબ થયું<ar>કોઈ ફેરફાર નહિ,single<br 1500>গত দুই দিনে তোমার শরীর কেমন আছে?<ar>স্বাস্থ্য উন্নত<ar>স্বাস্থ্য আরও খারাপ হয়েছে<ar>স্বাস্থ্যের কোনও পরিবর্তন নেই,single<br 1500>கடந்த 2 நாட்களில் உங்கள் உடல் நிலை எவ்வாறு மாறிவிட்டது?<ar>சுகாதார மேம்படுத்த<ar>சுகாதாரம் மோசமான சென்றார்<ar>சுகாதார எந்த மாற்றமும்,single<br 1500>गेल्या दोन दिवसांत आपल्या आरोग्यात काय बदल झाला?<ar>आरोग्यात सुधार<ar>आरोग्य बिघडले<ar>आरोग्यात काही बदल नाही ,single<br 1500>గత రెండు రోజుల్లో మీ ఆరోగ్య స్థితి లో ఎలా మార్పులు వచ్చాయి? <ar>ఆరోగ్యం మెరుగు పడింది<ar> సమస్య ఎక్కువ అయింది<ar>ఏమి తేడా లేదు,single<br 1500>ಕಳೆದ ಎರಡು ದಿನಗಳಲ್ಲಿ ಹೇಗೆ ನಿಮ್ಮ ಆರೋಗ್ಯ ಆಗಿದೆ?<ar>ಆರೋಗ್ಯ ಸುಧಾರಿಸಿ<ar>ಆರೋಗ್ಯ ಕೆಟ್ಟ ಹೋದರು<ar>ಆರೋಗ್ಯ ಯಾವುದೇ ಬದಲಾವಣೆ,"['Health improved', 'Health worsened', 'No change in health']"
