tag,type,English,हिंदी,ગુજરાતી,বাংলা,தமிழ்,मराठी,తెలుగు,ಕನ್ನಡ
age,single,"['0-10', '10-20', '20-30', '40-50', '50-60', '60-70', '70-100']","['0-10', '10-20', '20-30', '40-50', '50-60', '60-70', '70-100']","['0-10', '10-20', '20-30', '40-50', '50-60', '60-70', '70-100']","['0-10', '10-20', '20-30', '40-50', '50-60', '60-70', '70-100']","['0-10', '10-20', '20-30', '40-50', '50-60', '60-70', '70-100']","['0-10', '10-20', '20-30', '40-50', '50-60', '60-70', '70-100']","['0-10', '10-20', '20-30', '40-50', '50-60', '60-70', '70-100']","['0-10', '10-20', '20-30', '40-50', '50-60', '60-70', '70-100']"
gender,single,"['Male', 'Female', 'Other']","['पुरुष', 'महिला', 'अन्य']","['પુરુષ', 'સ્ત્રી', 'અન્ય']","['পুরুষ', 'নারী', 'অন্যান্য']","['ஆண்', 'பெண்', 'மற்ற']","['पुरुष', 'स्त्री', 'इतर']","['పురుషుడు', 'స్త్రీ', 'ఇతర']","['ಗಂಡು', 'ಹೆಣ್ಣು', 'ಇತರೆ']"
fever,single,"['No fever (96°F-98.6°F)', 'Minor fever (98.6°F-102°F)', 'High fever (>102°F)', 'Don’t know']","['कोई बुखार नहीं (96°F - 98.6°F)', 'साधारण बुखार (98.6°F - 102°F)', 'तेज बुखार (> 102 °F)', 'पता नहीं']","['કોઈ તાવ નથી (96 °F - 98.6 °F)', 'સાધારણ તાવ (98.6 °F 102 °F)', 'ભારે તાવ (>102 °F)', 'ખબર નથી']","['কোন জ্বর (96°F - 98.6°F)', 'সাধারণ জ্বর (98.6°F – 102°F)', 'উচ্চ জ্বর (> 102 °F)', 'জানি না']","[' காய்ச்சல் இல்லை (96°F – 98.6°F)', 'லேசான காய்ச்சல் (98.6°F – 102°F)', 'அதிக காய்ச்சல் (> 102 °F)', 'தெரியாது']","['ताप नाही (96°F – 98.6°F)', 'सामान्य ताप (98.6°F – 102°F)', 'उच्च ताप (> 102 °F)', 'माहित नाही']","['మాములు జ్వరము(96°F-98.6°F)','ఎక్కువ జ్వరము(98.6°F-102°F)','చాల ఎక్కువ జ్వరము(>102°F)','తెలియదు']","['ಯಾವುದೇ ಜ್ವರ (96°F-98.6°F)', 'ಸಾಮಾನ್ಯ ಜ್ವರ (98.6°F-102°F)', 'ಹೈ ಜ್ವರ (>102°F)', 'ಗೋಥಿಲಾ']"
cold,multiple,"['Running nose', 'Cough', 'Sore throat', 'Sneezing', 'None of these']","['बहता नाक', 'खांसी', 'गले में खराश', 'छींक आना', 'इनमें से कोई नहीं']","['વહેતુ નાક', 'ઉધરસ', 'સુકુ ગળું', 'છીંક', 'આમાંથી કોઈ નહિ']","['চলমান নাক', 'কাশি', 'গলা ব্যাথা', 'হাঁচি', 'এর মধ্যে কোনোটিই']","['இயங்கும் மூக்கு', 'இருமல்', 'புண் தொண்டை', 'தும்மல் வரும்போது', 'இவற்றில் எதுவுமே']","['वाहते नाक','खोकला', 'घसा खवखवणे किंव्हा दुखणे', 'शिंका येणे', 'यांपैकी काही नाही']","['జలుబు','పొడి దగ్గు','గొంతు లో మంట','తుమ్ములు','ఇవి లేవు']","['ಮೂಗು ಸೋರುವಿಕೆ', 'ಕೆಮ್ಮು', 'ನೋಯುತ್ತಿರುವ ಗಂಟಲು', 'ಸೀನು', 'ಇದ್ಯಾವುದೂ ಅಲ್ಲ']"
breathing,multiple,"['Shortness of breath', 'Difficulty in breathing', 'Continuous pain in the chest', 'None of these']","['सांस फूलना', 'सांस लेने में दिक्कत', 'छाती में सतत दर्द', 'इनमें से कोई नहीं']","['હાંફ ચઢવી', 'શ્વાસ લેવામાં મુશ્કેલી', 'છાતીમાં સતત દુખાવો', 'આમાંથી કોઈ નહિ']","['শ্বাসকষ্ট', 'সমস্যার প্রশ্বাস', 'বুকে ক্রমাগত ব্যথা', 'এর মধ্যে কোনোটিই']","['மூச்சு திணறல்', 'சுவாசிப்பதில் சிரமம்', 'மார்பில் தொடர்ச்சியான வலி', 'இவற்றில் ஏதுமில்லை']","['दम लागणे', 'श्वास घेण्यास त्रास होणे','छातीत कायम दुखणे','यांपैकी काहीच नाही  ']","['గాలి పీల్చుకోలేకపోవడం', 'ఆయాసము' ,'ఛాతి నొప్పి', 'ఇవి లేవు']","['ಉಸಿರಾಟದ ತೊಂದರೆ', 'ಉಸಿರಾಟದ ಸಮಸ್ಯೆ', 'ಎದೆಯಲ್ಲಿ ನಿರಂತರ ನೋವು', 'ಇದ್ಯಾವುದು ಅಲ್ಲ']"
travel,single,"['Yes', 'No']","['हाँ', 'नहीं']","['હા', 'ના ']","['হাঁ', 'না']","['ஆமாம்', 'இல்லை']","['होय', 'नाही']","['అవును', 'లేదు']","['ಹೌದು', 'ಇಲ್ಲ']"
exposure,single,"['Yes', 'No']","['हाँ', 'नहीं']","['હા', 'ના ']","['হাঁ', 'না']","['ஆமாம்', 'இல்லை']","['होय', 'नाही']","['అవును', 'లేదు']","['ಹೌದು', 'ಇಲ್ಲ']"
ailments,multiple,"['Hypertension(bp)', 'Diabetes', 'Asthma', 'Heart disease', 'Kidney disease', 'None of these']","['ब्लड प्रेशर (BP)', 'डायबिटीज', 'दमा', 'दिल की बीमारी', 'गुर्दे की बीमारी', 'इनमें से कोई नहीं']","['હાઇપરટેન્શન (BP)', 'ડાયાબિટીસ', 'અસ્થમા', 'હૃદય રોગ', 'કિડની રોગ', 'આમાંથી કોઈ નહિ']","['হাইপারটেনশন (বিপি)', 'ডায়াবেটিস', 'এজমা', 'হৃদরোগ', 'কিডনি রোগ', 'এর মধ্যে কোনোটিই']","['இரத்த அழுத்தம் (BP)', 'நீரிழிவு', 'ஆஸ்துமா', 'இதய நோய்', 'சிறுநீரக நோய்', 'இவற்றில் ஏதுமில்லை']","['रक्तदाब (बीपी)', 'मधुमेह', 'दमा', 'हृदयरोग', 'मूत्रपिंडाचा रोग', 'यांपैकी काही नाही ']","['రక్తపోటు (బిపి)', 'డయాబెటిస్', 'ఆస్తమా', 'గుండె సమస్యలు','కిడ్నీ సమస్యలు','ఏవి లేవు']","['ರಕ್ತದೊತ್ತಡ (BP)', 'ಮಧುಮೇಹ', 'ಅಸ್ತಮಾ', 'ಹೃದಯ ರೋಗ', 'ಕಿಡ್ನಿ ರೋಗ', 'ಇದ್ಯಾವುದೂ ಅಲ್ಲ']"
progress,single,"['Health improved', 'Health worsened', 'No change in health']","['स्वास्थ्य में सुधार', 'स्वास्थ्य खराब हो गई', 'स्वास्थ्य में कोई परिवर्तन नहीं']","['આરોગ્ય માં સુધારો', 'આરોગ્ય વધુ ખરાબ થયું', 'કોઈ ફેરફાર નહિ']","['স্বাস্থ্য উন্নত', 'স্বাস্থ্য আরও খারাপ হয়েছে', 'স্বাস্থ্যের কোনও পরিবর্তন নেই']","['சுகாதார மேம்படுத்த', 'சுகாதாரம் மோசமான சென்றார்', 'சுகாதார எந்த மாற்றமும்']","['आरोग्यात सुधार', 'आरोग्य बिघडले', 'आरोग्यात काही बदल नाही ']","['ఆరోగ్యం మెరుగు పడింది' ,' సమస్య ఎక్కువ అయింది' ,'ఏమి తేడా లేదు']","['ಆರೋಗ್ಯ ಸುಧಾರಿಸಿ', 'ಆರೋಗ್ಯ ಕೆಟ್ಟ ಹೋದರು', 'ಆರೋಗ್ಯ ಯಾವುದೇ ಬದಲಾವಣೆ']"
contact,single,"['Less than 5', '5-10', '10-20', '20-50', 'More than 50']","['5 से कम', '5-10', '10-20', '20-50', '50 से अधिक']","['5 થી ઓછા', '5-10', '10-20', '20-50', '50 થી વધુ']","['কম 5', '5-10', '10-20', '20-50', '50 টিরও বেশি']","['5 க்கும் குறைவாக', '5-10', '10-20', '20-50', '50 க்கும் மேற்பட்ட']","['5 पेक्षा कमी', '5-10', '10-20', '20-50', '50 पेक्षा अधिक']","['5 కన్నా తక్కువ', '5-10', '10-20', '20-50', '50 కంటే ఎక్కువ']","['ಕಡಿಮೆ 5', '5-10', '10-20', '20-50', '50 ಕ್ಕೂ ಹೆಚ್ಚು']"
