tag,type,English,हिंदी,ગુજરાતી,বাংলা,தமிழ்,मराठी,తెలుగు,ಕನ್ನಡ
age,single,Select your age,अपनी आयु दर्ज करें,તમારી ઉંમર દાખલ,আপনার বয়স লিখুন,உங்கள் வயது உள்ளிடவும்,आपले वय प्रविष्ट करा,మీ వయస్సు ఎంటర్ చేయండి,ನಿಮ್ಮ ವಯಸ್ಸು ನಮೂದಿಸಿ
gender,single,Select your gender,अपना लिंग चुनें,તમારી જાતિ પસંદ કરો,আপনার লিঙ্গ নির্বাচন করুন,உங்கள் பாலினம் தேர்ந்தெடுக்கவும்,आपले लिंग निवडा,మీ లింగం ఎంచుకోండి,ನಿಮ್ಮ ಲಿಂಗ ಆಯ್ಕೆ
fever,single,Do you have fever?,क्या आपको बुखार है?,તમને તાવ છે?,আপনি যদি একটি জ্বর আছে?,உங்களுக்கு காய்ச்சல் இருக்கிறதா?,तुम्हाला ताप आहे का?,మీకు జ్వరము ఉందా,ನೀವು ಜ್ವರ ಹೊಂದಿದ್ದೀರಾ?
cold,multiple,Any cold or flu related symptoms? (Select all relevant options and click send),सर्दी या जुकाम संबंधित लक्षण? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),ઠંડી - શરદી ના કોઈ લક્ષણો? (લાગુ પડતા બધ્ધા ઓપ્શન્સ સિલેક્ટ કરી સેન્ડ બટન દબાવો),কোল্ড বা ফ্লু সংক্রান্ত উপসর্গ? (বোতাম টিপুন পাঠাতে সব যথাযথ অপশন নির্বাচন করুন),ஜலதோஷம் அல்லது காய்ச்சல் தொடர்பான அறிகுறிகள்? (பட்டனை அழுத்தி பொருத்தமான விருப்பத்தைத் தேர்ந்தெடுக்கவும்),सर्दी किंवा फ्लू संबंधित लक्षणे? (बटण दाबा पाठविण्यासाठी सर्व योग्य पर्याय निवडा),ఈ కింది వాటిలో మీకు ఉన్న అన్ని సమస్యలను ఎంచుకోండి,ಶೀತ ಅಥವಾ ಫ್ಲೂ ರೋಗಲಕ್ಷಣಗಳು? (ಬಟನ್ ಒತ್ತಿ ಕಳುಹಿಸಲು ಎಲ್ಲಾ ಸೂಕ್ತ ಆಯ್ಕೆಗಳನ್ನು ಆಯ್ಕೆ ಮಾಡಿ)
breathing,multiple,Any breathing related challenges? (Select all relevant options and click send),फेफड़े या सांस लेने से संबंधित चुनौतियां? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),શ્વાસ સબંધી કોઈ તકલીફ ? (લાગુ પડતા બધ્ધા ઓપ્શન્સ સિલેક્ટ કરી સેન્ડ બટન દબાવો),ফুসফুস বা শ্বাসপ্রশ্বাস এর সাথে সম্পর্কিত চ্যালেঞ্জ? (বোতাম টিপুন পাঠাতে সব যথাযথ অপশন নির্বাচন করুন),நுரையீரல் அல்லது சுவாசப் தொடர்பான பிரச்சினைகள்? (பட்டனை அழுத்தி பொருத்தமான விருப்பத்தைத் தேர்ந்தெடுக்கவும்),फुफुसाच्या  किंवा श्वासा संबंधित तक्रारी? (बटण दाबा पाठविण्यासाठी सर्व योग्य पर्याय निवडा),ఊపిరితిత్తులు లేదు శ్వాస కి సంబంధించిని సమస్యలు ఏమైనా ఉన్నాయా? (అన్ని సంబంధిత వాటిని ఎంచుకోండి),ಶ್ವಾಸಕೋಶದ ಅಥವಾ ಉಸಿರಾಟ ಸಂಬಂಧಿಸಿದ ಸವಾಲುಗಳು? (ಬಟನ್ ಒತ್ತಿ ಕಳುಹಿಸಲು ಎಲ್ಲಾ ಸೂಕ್ತ ಆಯ್ಕೆಗಳನ್ನು ಆಯ್ಕೆ ಮಾಡಿ)
travel,single,Have you or your closed one travelled internationally in last 1 month?,आप या आपके साथ रहने वाले लोग ने पिछले 1 महीने में विदेश यात्रा की है?,તમે અથવા તમારા ફેમિલી મેમ્બર એ છેલ્લા 1 મહિનામાં કોઈ આંતરરાષ્ટ્રીય પ્રવાસ કર્યો છે?,অথবা আপনি যে ব্যক্তিদের সাথে বাস গত 1 মাসে বিদেশ ভ্রমন?,நீங்களோ அல்லது உங்கள் நெருங்கியவர்களோ சர்வதேச அளவில் பயணம் செய்தீர்களா?,आपण किव्हा आपल्या जवळपासच्या लोकांपैकी कोणीही गेल्या एका महिन्यात परदेशात जाऊन आला आहेत का?,గడిసిన ఒక్క నెల లో మీరు లేదా మీ దెగ్గరి వాలు ఎవరైనా విదేశీ ప్రయాణాలు లేదా ఎవరైనా వేదశాల నుంచి వచ్చారా ,ನೀವು ಅಥವಾ ನಿಮ್ಮ ಜೊತೆ ಇರುವ ಜನರು ಕಳೆದ ಒಂದು ತಿಂಗಳ ವಿದೇಶದಲ್ಲಿ ಪ್ರಯಾಣ ಮಾಡಿದ್ದಾರೆಯೇ?
exposure,single,Did you come in close contact with any infected person or someone who travelled abroad recently?,संभावित तौर पे क्या आप किसी भी संक्रमित व्यक्ति या हाल ही में विदेश से आये हुए व्यक्ति के निकट संपर्क में आये हो?,અંદાજે તમે કોઇ ચેપ વાળી વ્યક્તિ અથવા તાજેતરમાં વિદેશ પ્રવાસએ ગયેલા વ્યક્તિ સાથે ગાઢ સંપર્કમાં આવ્યા હતા?,সম্ভাব্য আপনি বিদেশে কোনো আক্রান্ত ব্যক্তির থেকে আসা বা সম্প্রতি দিতে ব্যক্তি সংস্পর্শে এসেছেন?,பாதிக்கப்பட்ட எந்தவொரு நபருடனும் அல்லது சமீபத்தில் வெளிநாடு சென்ற ஒருவருடனும் நீங்கள் நெருங்கிய தொடர்புக்கு வந்தீர்களா?,संभाव्य आपण कोणत्याही संक्रमित व्यक्ती किव्हा नुकत्याच परदेशातून परतलेल्या व्यक्तीच्या जवळीक संपर्कात आला आहेत का?,మీరు ఎవరైనా జబ్బు బారిన పడిన వ్యక్తులను లేదా విదేశాల నుంచి వచ్చిన వారిని కలిసారా ?,ನೀವು ಯಾವುದೇ ಸೋಂಕಿತ ವ್ಯಕ್ತಿ ಅಥವಾ ಇತ್ತೀಚೆಗೆ ವಿದೇಶ ಪ್ರವಾಸ ಮಾಡಿದವರೊಂದಿಗೆ ನಿಕಟ ಸಂಪರ್ಕಕ್ಕೆ ಬಂದಿದ್ದೀರಾ?
ailments,multiple,Are you suffering from long term ilness? (Select all relevant options and click send),लंबे समय की कोई बीमारी से पीड़ित हैं? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),તમને કોઈ લાંબા ગાળાની બીમારી છે? (લાગુ પડતા બધ્ધા ઓપ્શન્સ સિલેક્ટ કરી સેન્ડ બટન દબાવો),দীর্ঘ একটি রোগে ভুগছে করছেন আপনি? (বোতাম টিপুন পাঠাতে সব যথাযথ অপশন নির্বাচন করুন),நீங்கள் நீண்டகால நோயால் பாதிக்கப்படுகிறீர்களா? (பட்டனை அழுத்தி பொருத்தமான விருப்பத்தைத் தேர்ந்தெடுக்கவும்),दीर्घ कालीन आजार आहे का? (बटण दाबा पाठविण्यासाठी सर्व योग्य पर्याय निवडा),దీర్ఘకాలిక వ్యాధులతో ఏమైనా ఉన్నాయా? (అన్ని సంబంధిత వాటిని ఎంచుకోండి),ದೀರ್ಘ ಕಾಯಿಲೆಯಿಂದ ನರಳುತ್ತಿದ್ದಾರೆ? (ಬಟನ್ ಒತ್ತಿ ಕಳುಹಿಸಲು ಎಲ್ಲಾ ಸೂಕ್ತ ಆಯ್ಕೆಗಳನ್ನು ಆಯ್ಕೆ ಮಾಡಿ)
progress,single,How has your condition changed over last 2 days?,पिछले 2 दिन में आपका स्वास्थ्य कैसा रहा है?,છેલ્લા બે દિવસ માં તમારું સ્વાસ્થ્ય કેવું રહ્યું છે?,গত দুই দিনে তোমার শরীর কেমন আছে?,கடந்த 2 நாட்களில் உங்கள் உடல் நிலை எவ்வாறு மாறிவிட்டது?,गेल्या दोन दिवसांत आपल्या आरोग्यात काय बदल झाला?,గత రెండు రోజుల్లో మీ ఆరోగ్య స్థితి లో ఎలా మార్పులు వచ్చాయి? ,ಕಳೆದ ಎರಡು ದಿನಗಳಲ್ಲಿ ಹೇಗೆ ನಿಮ್ಮ ಆರೋಗ್ಯ ಆಗಿದೆ?
contact,single,Before the lockdown how many people do you meet daily?,लॉकडाउन से पहले आप दैनिक तौर पे कितने लोगों से मिलते थे?,લોકડાઉન પહેલાં તમે અસરે દૈનિક કેટલા લોકોને મળવાનું રહેતું?,লকডাউন আগে কতগুলি মানুষের উপর দৈনিক ভিত্তিতে করলি তুই?,மாநில பூட்டுதலுக்கு முன்பு நீங்கள் தினமும் எத்தனை பேரை சந்திக்கிறீர்கள்?,लॉकडाऊन होण्या आधी तुम्ही दिवसाला किती लोकांना भेटायचात?,లొక్డౌన్ కి ముందు రోజుకి సుమారుగా ఎంతమందిని కలిసి ఉండొచ్చు?,ಲಾಕ್‌ಡೌನ್ ಮಾಡುವ ಮೊದಲು ನೀವು ಪ್ರತಿದಿನ ಎಷ್ಟು ಜನರನ್ನು ಭೇಟಿ ಮಾಡಿದ್ದೀರಿ?
profession,single,Your profession?,आप का पेशा?,તમારો વ્યવસાય?,আপনার পেশা?,உங்கள் தொழில்?,आपल्या व्यवसाय?,మీ వృత్తిని ఎంచుకోండి?,ನಿಮ್ಮ ವೃತ್ತಿಯನ್ನು ಆಯ್ಕೆಮಾಡಿ
extra,multiple,Do u have any of the below symotoms? (Select all relevant options and click send),इनमे से कोई लक्षण? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),બીજી કોઈ તકલીફ? (લાગુ પડતા બધ્ધા ઓપ્શન્સ સિલેક્ટ કરી સેન્ડ બટન દબાવો),এই উপসর্গ কোন দলের? (বোতাম টিপুন পাঠাতে সব যথাযথ অপশন নির্বাচন করুন),கீழே கொடுக்கப்பட்டுள்ள அறிகுறிகள் ஏதேனும் உண்டா? (பட்டனை அழுத்தி பொருத்தமான விருப்பத்தைத் தேர்ந்தெடுக்கவும்),खालील पैकी कोणती लक्षणे आपणास आहेत का? (बटण दाबा पाठविण्यासाठी सर्व योग्य पर्याय निवडा),ఈ కింది సమస్యలు ఏమైనా ఉన్నాయా? (అన్ని సంబంధిత వాటిని ఎంచుకోండి),ನೀವು ಕೆಳಗಿನ ಯಾವುದೇ ರೋಗಲಕ್ಷಣಗಳನ್ನು ಹೊಂದಿದ್ದೀರಾ?
medication,multiple,Are you taking medications for any of the following? (Select all relevant options and click send),आप निम्न में से किसी के लिए दवा ले रहे हैं? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),આમાંની કોઈ પણ ટ્રીટમેન્ટ કે મેડિકેશન ચાલુ છે ? (લાગુ પડતા બધ્ધા ઓપ્શન્સ સિલેક્ટ કરી સેન્ડ બટન દબાવો),আপনাকে নিম্নলিখিত যে কোন ঔষধ গ্রহণ হয়? (বোতাম টিপুন পাঠাতে সব যথাযথ অপশন নির্বাচন করুন),பின்வருவனவற்றில் ஏதேனும் மருந்துகளை எடுத்துக்கொள்கிறீர்களா?  (பட்டனை அழுத்தி பொருத்தமான விருப்பத்தைத் தேர்ந்தெடுக்கவும்),खालील पैकी कशावर औषधे घेत आहात का? (बटण दाबा पाठविण्यासाठी सर्व योग्य पर्याय निवडा),"మీరు ఈ కింది మందులను ఏవైనా వాడుతున్నారా?,ఒకవేళ ఏవైనా వాడుతున్నట్లైతే  అవి ఎంచుకోండి?",ಕೆಳಗಿನ ಯಾವುದೇ ಔಷಧಿಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುವ ವೇಳೆ? (ಬಟನ್ ಒತ್ತಿ ಕಳುಹಿಸಲು ಎಲ್ಲಾ ಸೂಕ್ತ ಆಯ್ಕೆಗಳನ್ನು ಆಯ್ಕೆ ಮಾಡಿ)
immunity,single,How would you estimate your immunity?,अनुमान से आप की रोग प्रतिरोधक शक्ति कैसी है?,અંદાજે તમારી રોગ પ્રતિકારક શક્તિ કેવી છે?,"আন্দাজ, আপনার রোগ প্রতিরোধের ধরনের কেমন",உங்கள் நோய் எதிர்ப்பு சக்தியை எவ்வாறு அளவிடுவீர்கள்?,"अंदाजे, तुमची रोग प्रतिकारशक्ती कशी आहे?",మీ యొక్క వ్యాధి నిరోధక శక్తి ని ఎంచుకోగలరు?,ನಿಮ್ಮ ರೋಗನಿರೋಧಕ ಶಕ್ತಿಯನ್ನು ನೀವು ಹೇಗೆ ಅಳೆಯುತ್ತೀರಿ?
mobile,single,Would you like to share your contact number? This will help us update you and government in case of emergency.,क्या आप अपना मोबाइल नंबर देना चाहेंगे? आपात स्थिति में हम आपको सूचित रखने और सरकारी सहायता प्राप्त करने की कोशिश करेंगे,તમે તમારો મોબાઇલ નંબર આપવા માંગો છો? સંકટમય સંજોગો માં અમે તમને જાણ રાખવા અને સરકારી સહાય મેળવવા પ્રયત્ન કરીશું,"আপনি গুরুত্বপূর্ণ অন্তর্দৃষ্টি পাবেন আপনার মোবাইল নম্বর লিখুন করতে চান? একটি জরুরী, আমরা আপনাকে অবহিত এবং সরকারের সহায়তা রাখার চেষ্টা করবে","உங்கள் தொலைபேசி எண்ணை பகிர விரும்புகிறீர்களா? இது, அவசர நிலை ஏற்பட்டால், உங்களுக்கும், அரசுக்கும் நாங்கள் தெரியப்படுத்த உதவும்.",आपण आपला  मोबाइलला नंबर देऊ इच्छिता का? ह्याने आम्हाला आपणास  आणि  सरकारला आपत्कालीन परिस्थितीत  अद्ययावत  करता  येऊ  शकेल.,"మీరు మీ మొబైల్ నంబర్ ఇవ్వగలరా? ఇది అత్యవసర పరిస్థితిలో, ప్రభుత్వం మిమ్మల్ని సంప్రదించడానికి ఉపయోగపడుతుంది","ನಿಮ್ಮ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ನಮ್ಮೊಂದಿಗೆ ನಮೂದಿಸಲು ಬಯಸುತ್ತೀರಾ? ತುರ್ತು ಸಂದರ್ಭದಲ್ಲಿ, ನಿಮಗೆ ಮತ್ತು ಸರ್ಕಾರಕ್ಕೆ ಮಾಹಿತಿ ತಲುಪಿಸಲು ಈ ಸಂಖ್ಯೆ ಸಹಕಾರಿಯಾಗುತ್ತದೆ."
