,tag,type,question,hi_question,translated_questions,options,hi_options,translated_options
0,age,text,Enter your age,अपनी आयु दर्ज करें,আপনার বয়স লিখুন,text,['टेक्स्ट'],['পাঠ']
1,gender,single,Select your gender,अपना लिंग चुनें,আপনার লিঙ্গ নির্বাচন করুন,"Male,Female,Other","['पुरुष', 'महिला', 'अन्य']","['পুরুষ', 'নারী', 'অন্যান্য']"
2,fever,single,Do you have fever?,क्या आपको बुखार है?,আপনি যদি একটি জ্বর আছে?,"No Fever (96°F-98.6°F),Minor Fever (98.6°F-102°F),High Fever (>102°F),Don’t Know","['कोई बुखार नहीं (96°F - 98.6°F)', 'साधारण बुखार (98.6°F - 102°F)', 'तेज बुखार (> 102 °F)', 'पता नहीं']","['কোন জ্বর (96°F - 98.6°F)', 'সাধারণ জ্বর (98.6°F – 102°F)', 'উচ্চ জ্বর (> 102 °F)', 'জানি না']"
3,cold,multiple,Any cold related symptoms?,सर्दी या जुकाम संबंधित लक्षण? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),কোল্ড বা ফ্লু সংক্রান্ত উপসর্গ? (বোতাম টিপুন পাঠাতে সব যথাযথ অপশন নির্বাচন করুন),"running nose,cough,sore throat,sneezing,none of these","['बहता नाक', 'खांसी', 'गले में खराश', 'छींक आना', 'इनमें से कोई नहीं']","['চলমান নাক', 'কাশি', 'গলা ব্যাথা', 'হাঁচি', 'এর মধ্যে কোনোটিই']"
4,breathing,multiple,Any breathing related challenges?,फेफड़े या सांस लेने से संबंधित चुनौतियां? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),ফুসফুস বা শ্বাসপ্রশ্বাস এর সাথে সম্পর্কিত চ্যালেঞ্জ? (বোতাম টিপুন পাঠাতে সব যথাযথ অপশন নির্বাচন করুন),"Shortness of breath,Difficulty in breathing,Continuous pain in the chest, none of these","['सांस फूलना', 'सांस लेने में दिक्कत', 'छाती में सतत दर्द', 'इनमें से कोई नहीं']","['শ্বাসকষ্ট', 'সমস্যার প্রশ্বাস', 'বুকে ক্রমাগত ব্যথা', 'এর মধ্যে কোনোটিই']"
5,travel,single,Have you or your closed one travelled internationally in last 1 month?,आप या आपके साथ रहने वाले लोग ने पिछले 1 महीने में विदेश यात्रा की है?,অথবা আপনি যে ব্যক্তিদের সাথে বাস গত 1 মাসে বিদেশ ভ্রমন?,"Yes,No","['हाँ', 'नहीं']","['হাঁ', 'না']"
6,exposure,single,Did you come in close contact with any infected person or someone who travelled abroad recently,"संभावित तौर पे क्या आप किसी भी संक्रमित व्यक्ति या हाल ही में विदेश से आये हुए 
व्यक्ति के निकट संपर्क में आये हो?","সম্ভাব্য আপনি বিদেশে কোনো আক্রান্ত ব্যক্তির থেকে আসা বা সম্প্রতি দিতে
ব্যক্তি সংস্পর্শে এসেছেন?","Yes,No","['हाँ', 'नहीं']","['হাঁ', 'না']"
7,ailments,multiple,Are you suffering from long term ilness?,लंबे समय की कोई बीमारी से पीड़ित हैं? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),"দীর্ঘ একটি রোগে ভুগছে করছেন 
আপনি? (বোতাম টিপুন পাঠাতে সব যথাযথ অপশন নির্বাচন করুন)","Hypertension(BP),Diabetes,Asthma,Heart disease,Kidney disease, none of these","['ब्लड प्रेशर (BP)', 'डायबिटीज', 'दमा', 'दिल की बीमारी', 'गुर्दे की बीमारी', 'इनमें से कोई नहीं']","['হাইপারটেনশন (বিপি)', 'ডায়াবেটিস', 'এজমা', 'হৃদরোগ', 'কিডনি রোগ', 'এর মধ্যে কোনোটিই']"
8,progress,single,How has your condition changed over last 2 days?,पिछले 2 दिन में आपका स्वास्थ्य कैसा रहा है?,গত দুই দিনে তোমার শরীর কেমন আছে?,"Health improved,Health worsened, No change in health","['स्वास्थ्य में सुधार', 'स्वास्थ्य खराब हो गई', 'स्वास्थ्य में कोई परिवर्तन नहीं']","['স্বাস্থ্য উন্নত', 'স্বাস্থ্য আরও খারাপ হয়েছে', 'স্বাস্থ্যের কোনও পরিবর্তন নেই']"
9,contact,single,Before the lockdown how many people do you meet daily?,लॉकडाउन से पहले आप दैनिक तौर पे कितने लोगों से मिलते थे?,লকডাউন আগে কতগুলি মানুষের উপর দৈনিক ভিত্তিতে করলি তুই?,"less than 5,5-10,10-20,more than 20","['5 से कम', '5-10', '10-20', '20 से अधिक']","['কম 5', '5-10', '10-20', '20 টিরও বেশি']"
10,nature,single,Select nature of your profession,आप का पेशा,আপনার ব্যবসার প্রকৃতি,"['Student', 'Housewife', 'un-employeed', 'Business Owner', 'Retail shop', 'IT job', 'bank', 'teacher', 'sales/marketing', 'doctor/medical staff', 'Others']","['छात्र', 'गृहिणी', 'बेरोज़गार', 'व्यापारी', 'रिटेल स्टोर', 'IT', 'बैंक', 'शिक्षक', 'सेल्स / मार्केटिंग', 'डॉक्टर / मेडिकल स्टाफ', 'अन्य']","['ছাত্র', 'গৃহিনী', 'বেকার', 'ব্যবসায়ী', 'খুচরা বিপণি', 'আইটি', 'ব্যাংক', 'শিক্ষক', 'বিক্রয় / মার্কেটিং', 'ডাক্তার / চিকিৎসা কর্মীদের', 'অন্যান্য']"
11,profession,text,Describe your profession,आपके पेशा का वर्णन करें,আপনার পেশা বর্ণনা করুন,text,['text'],['পাঠ']
12,extra,multiple,Do u have any below symotoms?,इनमे से कोई लक्षण? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),এই উপসর্গ কোন দলের? (বোতাম টিপুন পাঠাতে সব যথাযথ অপশন নির্বাচন করুন),"vomiting,blood vomiting,Diarrohea,weakness,none of these","['उल्टी', 'खून उल्टी', 'दस्त', 'दुर्बलता', 'इनमें से कोई नहीं']","['বমি', 'রক্ত বমি', 'অতিসার', 'দৌর্বল্য', 'এর মধ্যে কোনোটিই']"
13,medication,multiple,Are you taking medications for any of the following?,आप निम्न में से किसी के लिए दवा ले रहे हैं? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),আপনাকে নিম্নলিখিত যে কোন ঔষধ গ্রহণ হয়? (বোতাম টিপুন পাঠাতে সব যথাযথ অপশন নির্বাচন করুন),"Chemotherapy, Radiotherapy, TB, Pneumonia, Organ transplant","['कीमोथेरपी', 'रेडियोथेरेपी', 'टीबी', 'निमोनिया', 'अंग प्रत्यारोपण']","['রাসায়নিক মিশ্রপ্রয়োগে রোগচিকিত্সা', 'রঁজনরশ্মি দ্বারা চিকিত্সা', 'টিবি', 'নিউমোনিআ', 'অঙ্গ প্রতিস্থাপন']"
14,immunity,single,How would you guage your immunity?,अनुमान से आप की रोग प्रतिरोधक शक्ति कैसी है?,"আপনার রোগ প্রতিরোধের ধরনের কেমন, Guess?","Low Immunity, Medium Immunity, Good immunity","['कम रोग प्रतिरोधक शक्ति', 'साधारण रोग प्रतिरोधक शक्ति', 'अच्छी रोग प्रतिरोधक शक्ति']","['কম অনাক্রম্যতা', 'মাঝারি অনাক্রম্যতা', 'গুড অনাক্রম্যতা']"
