,tag,type,question,hi_question,translated_question,options,hi_options,translated_options
0,age,text,Enter your age,अपनी आयु दर्ज करें,ನಿಮ್ಮ ವಯಸ್ಸು ನಮೂದಿಸಿ,text,['टेक्स्ट'],['ಪಠ್ಯ']
1,gender,single,Select your gender,अपना लिंग चुनें,ನಿಮ್ಮ ಲಿಂಗ ಆಯ್ಕೆ,"Male,Female,Other","['पुरुष', 'महिला', 'अन्य']","['ಮೆನ್', 'ವುಮನ್', 'ಇತರೆ']"
2,fever,single,Do you have fever?,क्या आपको बुखार है?,ನೀವು ಜ್ವರ ಹೊಂದಿದ್ದೀರಾ?,"No Fever (96°F-98.6°F),Minor Fever (98.6°F-102°F),High Fever (>102°F),Don’t Know","['कोई बुखार नहीं (96°F - 98.6°F)', 'साधारण बुखार (98.6°F - 102°F)', 'तेज बुखार (> 102 °F)', 'पता नहीं']","['ಯಾವುದೇ ಜ್ವರ (96 ° ಎಫ್ - 98.6 ° ಎಫ್)', 'ಸಾಮಾನ್ಯ ಜ್ವರ (98.6 ° ಎಫ್ - 102 ° ಎಫ್)', 'ಹೈ ಜ್ವರ (> 102 ° ಎಫ್)', 'ಡೋಂಟ್ ನೋ']"
3,cold,multiple,Any cold related symptoms?,सर्दी या जुकाम संबंधित लक्षण? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),ಶೀತ ಅಥವಾ ಫ್ಲೂ ರೋಗಲಕ್ಷಣಗಳು? (ಬಟನ್ ಒತ್ತಿ ಕಳುಹಿಸಲು ಎಲ್ಲಾ ಸೂಕ್ತ ಆಯ್ಕೆಗಳನ್ನು ಆಯ್ಕೆ ಮಾಡಿ),"running nose,cough,sore throat,sneezing,none of these","['बहता नाक', 'खांसी', 'गले में खराश', 'छींक आना', 'इनमें से कोई नहीं']","['ಮೂಗಿನ ರನ್ನಿಂಗ್', 'ಕೆಮ್ಮು', 'ನೋಯುತ್ತಿರುವ ಗಂಟಲು', 'ಸೀನು', 'ಇದ್ಯಾವುದು']"
4,breathing,multiple,Any breathing related challenges?,फेफड़े या सांस लेने से संबंधित चुनौतियां? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),ಶ್ವಾಸಕೋಶದ ಅಥವಾ ಉಸಿರಾಟ ಸಂಬಂಧಿಸಿದ ಸವಾಲುಗಳು? (ಬಟನ್ ಒತ್ತಿ ಕಳುಹಿಸಲು ಎಲ್ಲಾ ಸೂಕ್ತ ಆಯ್ಕೆಗಳನ್ನು ಆಯ್ಕೆ ಮಾಡಿ),"Shortness of breath,Difficulty in breathing,Continuous pain in the chest, none of these","['सांस फूलना', 'सांस लेने में दिक्कत', 'छाती में सतत दर्द', 'इनमें से कोई नहीं']","['ಉಸಿರಾಟದ ತೊಂದರೆಯು', 'ಉಸಿರಾಟದ ಸಮಸ್ಯೆಗಳು', 'ಎದೆಯಲ್ಲಿ ನಿರಂತರ ನೋವು', 'ಇದ್ಯಾವುದು']"
5,travel,single,Have you or your closed one travelled internationally in last 1 month?,आप या आपके साथ रहने वाले लोग ने पिछले 1 महीने में विदेश यात्रा की है?,ಅಥವಾ ನೀವು ಇರಲು ಜನರಿಗೆ ಕಳೆದ 1 ತಿಂಗಳ ವಿದೇಶದಲ್ಲಿ ಪ್ರಯಾಣ?,"Yes,No","['हाँ', 'नहीं']","['ಹೌದು', 'ಮಾಡಿರುವುದಿಲ್ಲ']"
6,exposure,single,Did you come in close contact with any infected person or someone who travelled abroad recently,"संभावित तौर पे क्या आप किसी भी संक्रमित व्यक्ति या हाल ही में विदेश से आये हुए 
व्यक्ति के निकट संपर्क में आये हो?","ಸಮರ್ಥವಾಗಿ ವಿದೇಶದಲ್ಲಿ ಯಾವುದೇ ಸೋಂಕಿತ ವ್ಯಕ್ತಿಯಿಂದ ಬಂದು ಅಥವಾ ಇತ್ತೀಚೆಗೆ ಪಾವತಿ
ಹ್ಯಾವ್ ವ್ಯಕ್ತಿಯೊಂದಿಗೆ ನಿಕಟ ಸಂಪರ್ಕ?","Yes,No","['हाँ', 'नहीं']","['ಹೌದು', 'ಮಾಡಿರುವುದಿಲ್ಲ']"
7,ailments,multiple,Are you suffering from long term ilness?,लंबे समय की कोई बीमारी से पीड़ित हैं? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),ದೀರ್ಘ ಕಾಯಿಲೆಯಿಂದ ನರಳುತ್ತಿದ್ದಾರೆ? (ಬಟನ್ ಒತ್ತಿ ಕಳುಹಿಸಲು ಎಲ್ಲಾ ಸೂಕ್ತ ಆಯ್ಕೆಗಳನ್ನು ಆಯ್ಕೆ ಮಾಡಿ),"Hypertension(BP),Diabetes,Asthma,Heart disease,Kidney disease, none of these","['ब्लड प्रेशर (BP)', 'डायबिटीज', 'दमा', 'दिल की बीमारी', 'गुर्दे की बीमारी', 'इनमें से कोई नहीं']","['ರಕ್ತದೊತ್ತಡ (BP)', 'ಮಧುಮೇಹ', 'ಅಸ್ತಮಾ', 'ಹೃದಯ ರೋಗ', 'ಕಿಡ್ನಿ ರೋಗ', 'ಇದ್ಯಾವುದು']"
8,progress,single,How has your condition changed over last 2 days?,पिछले 2 दिन में आपका स्वास्थ्य कैसा रहा है?,ಕಳೆದ ಎರಡು ದಿನಗಳಲ್ಲಿ ಹೇಗೆ ನಿಮ್ಮ ಆರೋಗ್ಯ ಆಗಿದೆ?,"Health improved,Health worsened, No change in health","['स्वास्थ्य में सुधार', 'स्वास्थ्य खराब हो गई', 'स्वास्थ्य में कोई परिवर्तन नहीं']","['ಆರೋಗ್ಯ ಸುಧಾರಿಸಿ', 'ಆರೋಗ್ಯ ಕೆಟ್ಟ ಹೋದರು', 'ಆರೋಗ್ಯ ಯಾವುದೇ ಬದಲಾವಣೆ']"
9,contact,single,Before the lockdown how many people do you meet daily?,लॉकडाउन से पहले आप दैनिक तौर पे कितने लोगों से मिलते थे?,ಲಾಕ್ ಮಾಡಲಾಗಿದೆ ಮೊದಲು ಎಷ್ಟು ಜನರ ಮೇಲೆ ಪ್ರತಿದಿನವು ಭೇಟಿ?,"less than 5,5-10,10-20,more than 20","['5 से कम', '5-10', '10-20', '20 से अधिक']","['ಕಡಿಮೆ 5', '5-10', '10-20', '20 ಕ್ಕೂ ಹೆಚ್ಚು']"
