,tag,type,question,hi_question,translated_question,options,gu_options,gu_options
0,age,text,Enter your age,अपनी आयु दर्ज करें,आपले वय प्रविष्ट करा,text,['टेक्स्ट'],['मजकूर']
1,gender,single,Select your gender,अपना लिंग चुनें,आपले लिंग निवडा,"Male,Female,Other","['पुरुष', 'महिला', 'अन्य']","['पुरुष', 'स्त्री', 'इतर']"
2,fever,single,Do you have fever?,क्या आपको बुखार है?,तुम्हाला ताप आहे का?,"No Fever (96°F-98.6°F),Minor Fever (98.6°F-102°F),High Fever (>102°F),Don’t Know","['कोई बुखार नहीं (96°F - 98.6°F)', 'साधारण बुखार (98.6°F - 102°F)', 'तेज बुखार (> 102 °F)', 'पता नहीं']","['ताप (96 ° फॅ - 98.6 ° फॅ)', 'सामान्य ताप (98.6 ° फॅ - 102 ° फॅ)', 'उच्च ताप (> 102 ° फॅ)', 'माहित नाही']"
3,cold,multiple,Any cold related symptoms?,सर्दी या जुकाम संबंधित लक्षण? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),सर्दी किंवा फ्लू संबंधित लक्षणे? (बटण दाबा पाठविण्यासाठी सर्व योग्य पर्याय निवडा),"running nose,cough,sore throat,sneezing,none of these","['बहता नाक', 'खांसी', 'गले में खराश', 'छींक आना', 'इनमें से कोई नहीं']","['चालू नाक', 'खोकला', 'घसा खवखवणे', 'शिंक', 'यापैकी']"
4,breathing,multiple,Any breathing related challenges?,फेफड़े या सांस लेने से संबंधित चुनौतियां? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),फुफ्फुसाचा किंवा श्वास संबंधित आव्हाने? (बटण दाबा पाठविण्यासाठी सर्व योग्य पर्याय निवडा),"Shortness of breath,Difficulty in breathing,Continuous pain in the chest, none of these","['सांस फूलना', 'सांस लेने में दिक्कत', 'छाती में सतत दर्द', 'इनमें से कोई नहीं']","['श्वास लागणे', 'समस्या श्वास', 'छातीत सतत वेदना', 'यापैकी']"
5,travel,single,Have you or your closed one travelled internationally in last 1 month?,आप या आपके साथ रहने वाले लोग ने पिछले 1 महीने में विदेश यात्रा की है?,किंवा आपण राहणारे लोक गेल्या 1 महिन्यात परदेशात प्रवास?,"Yes,No","['हाँ', 'नहीं']","['होय', 'नाही']"
6,exposure,single,Did you come in close contact with any infected person or someone who travelled abroad recently,"संभावित तौर पे क्या आप किसी भी संक्रमित व्यक्ति या हाल ही में विदेश से आये हुए 
व्यक्ति के निकट संपर्क में आये हो?","संभाव्य अलीकडे परदेशात कोणत्याही संक्रमित व्यक्तीला येतात किंवा अदा
व्यक्ती जवळ संपर्कात आला आहात का?","Yes,No","['हाँ', 'नहीं']","['होय', 'नाही']"
7,ailments,multiple,Are you suffering from long term ilness?,लंबे समय की कोई बीमारी से पीड़ित हैं? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),लांब एक आजार आहे का? (बटण दाबा पाठविण्यासाठी सर्व योग्य पर्याय निवडा),"Hypertension(BP),Diabetes,Asthma,Heart disease,Kidney disease, none of these","['ब्लड प्रेशर (BP)', 'डायबिटीज', 'दमा', 'दिल की बीमारी', 'गुर्दे की बीमारी', 'इनमें से कोई नहीं']","['रक्तदाब (बीपी)', 'मधुमेह', 'दमा', 'हृदयरोग', 'मूत्रपिंडाचा रोग', 'यापैकी']"
8,progress,single,How has your condition changed over last 2 days?,पिछले 2 दिन में आपका स्वास्थ्य कैसा रहा है?,गेल्या दोन दिवसांत आपल्या आरोग्य आहे?,"Health improved,Health worsened, No change in health","['स्वास्थ्य में सुधार', 'स्वास्थ्य खराब हो गई', 'स्वास्थ्य में कोई परिवर्तन नहीं']","['आरोग्य सुधारा', 'आरोग्य वाईट गेला', 'आरोग्य बदल नाही']"
9,contact,single,Before the lockdown how many people do you meet daily?,लॉकडाउन से पहले आप दैनिक तौर पे कितने लोगों से मिलते थे?,कुलुपबंद करण्यापूर्वी किती लोक दररोज यांची भेट घेतली आहे?,"less than 5,5-10,10-20,more than 20","['5 से कम', '5-10', '10-20', '20 से अधिक']","['5 पेक्षा कमी', '5-10', '10-20', '20 पेक्षा अधिक']"
10,nature,single,Select nature of your profession,आपके व्यवसाय की प्रकृति,आपल्या व्यवसायाचे स्वरूप,"['Student', 'Housewife', 'un-employeed', 'Business Owner', 'Retail shop', 'IT job', 'bank', 'teacher', 'sales/marketing', 'doctor/medical staff', 'Others']","['छात्र', 'गृहिणी', 'बेरोज़गार', 'व्यापारी', 'रिटेल स्टोर', 'IT', 'बैंक', 'शिक्षक', 'सेल्स / मार्केटिंग', 'डॉक्टर / मेडिकल स्टाफ', 'अन्य']","['विद्यार्थी', 'गृहिणी', 'बेरोजगार', 'व्यापारी', 'किरकोळ दुकाने', 'आयटी', 'बँक', 'शिक्षक', 'विक्री / विपणन', 'डॉक्टर / वैद्यकीय कर्मचारी', 'इतर']"
11,profession,text,Describe your profession,अपने पेशे का वर्णन करें,आपली नोकरी व्यवसाय वर्णन,text,['टेक्स्ट'],['मजकूर']
12,extra,multiple,Do u have any below symotoms?,इनमे से कोई लक्षण? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),ही लक्षणे कोणत्याही? (बटण दाबा पाठविण्यासाठी सर्व योग्य पर्याय निवडा),"vomiting,blood vomiting,Diarrohea,weakness,none of these","['उल्टी', 'खून उल्टी', 'दस्त', 'दुर्बलता', 'इनमें से कोई नहीं']","['उलट्या', 'उलटी रक्त', 'अतिसार', 'कमजोरपणा', 'यापैकी']"
13,medication,multiple,Are you taking medications for any of the following?,आप निम्न में से किसी के लिए दवा ले रहे हैं? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),आपण खालील कोणत्याही औषधे घेत असल्यास? (बटण दाबा पाठविण्यासाठी सर्व योग्य पर्याय निवडा),"Chemotherapy, Radiotherapy, TB, Pneumonia, Organ transplant","['कीमोथेरपी', 'रेडियोथेरेपी', 'टीबी', 'निमोनिया', 'अंग प्रत्यारोपण']","['केमोथेरपी', 'रेिडओथेरफी', 'टीबी', 'न्यूमोनिया', 'अवयव प्रत्यारोपण']"
14,immunity,single,How would you guage your immunity?,अनुमान से आप की रोग प्रतिरोधक शक्ति कैसी है?,रोग प्रतिकार प्रकारचे करावं?,"Low Immunity, Medium Immunity, Good immunity","['कम रोग प्रतिरोधक शक्ति', 'साधारण रोग प्रतिरोधक शक्ति', 'अच्छी रोग प्रतिरोधक शक्ति']","['कमी रोग प्रतिकारशक्ती', 'साधे रोग प्रतिकारशक्ती', 'पण रोग प्रतिकारशक्ती']"
