,tag,type,question,hi_question,translated_question,options,hi_options,translated_options
0,age,text,Enter your age,अपनी आयु दर्ज करें,உங்கள் வயது உள்ளிடவும்,text,['टेक्स्ट'],['உரை']
1,gender,single,Select your gender,अपना लिंग चुनें,உங்கள் பாலினம் தேர்ந்தெடுக்கவும்,"Male,Female,Other","['पुरुष', 'महिला', 'अन्य']","['ஆண்கள்', 'பெண்', 'மற்ற']"
2,fever,single,Do you have fever?,क्या आपको बुखार है?,நீங்கள் ஒரு காய்ச்சல் இருக்கிறதா?,"No Fever (96°F-98.6°F),Minor Fever (98.6°F-102°F),High Fever (>102°F),Don’t Know","['कोई बुखार नहीं (96°F - 98.6°F)', 'साधारण बुखार (98.6°F - 102°F)', 'तेज बुखार (> 102 °F)', 'पता नहीं']","['இல்லை காய்ச்சல் (96 டிகிரி பாரன்ஹீட் - 98.6 டிகிரி பாரன்ஹீட்)', 'சாதாரண காய்ச்சல் (98.6 டிகிரி பாரன்ஹீட் - 102 டிகிரி பாரன்ஹீட்)', 'உயர் காய்ச்சல் (> 102 டிகிரி பாரன்ஹீட்)', 'அறிய வேண்டாம்']"
3,cold,multiple,Any cold related symptoms?,सर्दी या जुकाम संबंधित लक्षण? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),குளிர் அல்லது காய்ச்சல் தொடர்பான அறிகுறிகள்? (பட்டனை அழுத்தவும் அனுப்ப அனைத்து பொருத்தமான என்பதைத் தேர்ந்தெடுக்கவும்),"running nose,cough,sore throat,sneezing,none of these","['बहता नाक', 'खांसी', 'गले में खराश', 'छींक आना', 'इनमें से कोई नहीं']","['இயங்கும் மூக்கு', 'இருமல்', 'புண் தொண்டை', 'தும்மல் வரும்போது', 'இவற்றில் எதுவுமே']"
4,breathing,multiple,Any breathing related challenges?,फेफड़े या सांस लेने से संबंधित चुनौतियां? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),நுரையீரல் அல்லது சுவாசப் தொடர்பான சவால்கள்? (பட்டனை அழுத்தவும் அனுப்ப அனைத்து பொருத்தமான என்பதைத் தேர்ந்தெடுக்கவும்),"Shortness of breath,Difficulty in breathing,Continuous pain in the chest, none of these","['सांस फूलना', 'सांस लेने में दिक्कत', 'छाती में सतत दर्द', 'इनमें से कोई नहीं']","['மூச்சு திணறல்', 'பிரச்சினைகள் சுவாசம்', 'மார்பு தொடர்ச்சியான வலி', 'இவற்றில் எதுவுமே']"
5,travel,single,Have you or your closed one travelled internationally in last 1 month?,आप या आपके साथ रहने वाले लोग ने पिछले 1 महीने में विदेश यात्रा की है?,அல்லது நீங்கள் வாழும் மக்கள் கடந்த 1 மாதத்தில் வெளிநாடுகளில் பயணம்?,"Yes,No","['हाँ', 'नहीं']","['ஆமாம்', 'இல்லை']"
6,exposure,single,Did you come in close contact with any infected person or someone who travelled abroad recently,"संभावित तौर पे क्या आप किसी भी संक्रमित व्यक्ति या हाल ही में विदेश से आये हुए 
व्यक्ति के निकट संपर्क में आये हो?","சாத்தியமுள்ள நீங்கள் வெளிநாட்டில் சமீபத்தில் எந்த பாதிக்கப்பட்ட நபர் வருகிறீர்கள் அல்லது செலுத்த
நபர் நெருங்கிய தொடர்பு வந்திருக்கிறீர்களா?","Yes,No","['हाँ', 'नहीं']","['ஆமாம்', 'இல்லை']"
7,ailments,multiple,Are you suffering from long term ilness?,लंबे समय की कोई बीमारी से पीड़ित हैं? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),நீண்ட ஒரு நோய் பாதிக்கப்பட்டுள்ளனர்? (பட்டனை அழுத்தவும் அனுப்ப அனைத்து பொருத்தமான என்பதைத் தேர்ந்தெடுக்கவும்),"Hypertension(BP),Diabetes,Asthma,Heart disease,Kidney disease, none of these","['ब्लड प्रेशर (BP)', 'डायबिटीज', 'दमा', 'दिल की बीमारी', 'गुर्दे की बीमारी', 'इनमें से कोई नहीं']","['இரத்த அழுத்தம் (BP)', 'நீரிழிவு', 'ஆஸ்துமா', 'இதய நோய்', 'சிறுநீரக நோய்', 'இவற்றில் எதுவுமே']"
8,progress,single,How has your condition changed over last 2 days?,पिछले 2 दिन में आपका स्वास्थ्य कैसा रहा है?,கடந்த இரண்டு நாட்களில் எப்படி உங்கள் உடல்நிலை எப்படி உள்ளது?,"Health improved,Health worsened, No change in health","['स्वास्थ्य में सुधार', 'स्वास्थ्य खराब हो गई', 'स्वास्थ्य में कोई परिवर्तन नहीं']","['சுகாதார மேம்படுத்த', 'சுகாதாரம் மோசமான சென்றார்', 'சுகாதார எந்த மாற்றமும்']"
9,contact,single,Before the lockdown how many people do you meet daily?,लॉकडाउन से पहले आप दैनिक तौर पे कितने लोगों से मिलते थे?,புட்டியுள்ளது முன் எத்தனை பேர் மீது தினசரி அடிப்படையில் சந்தித்த?,"less than 5,5-10,10-20,more than 20","['5 से कम', '5-10', '10-20', '20 से अधिक']","['குறைவான 5', '5-10', '10-20', '20 க்கும் மேற்பட்ட']"
