,tag,type,question,hi_question,translated_question,options,hi_options,translated_options
0,age,text,Enter your age,अपनी आयु दर्ज करें,మీ వయస్సు ఎంటర్,text,['टेक्स्ट'],['టెక్స్ట్']
1,gender,single,Select your gender,अपना लिंग चुनें,మీ లింగం ఎంచుకోండి,"Male,Female,Other","['पुरुष', 'महिला', 'अन्य']","['మెన్', 'స్త్రీ', 'ఇతర']"
2,fever,single,Do you have fever?,क्या आपको बुखार है?,మీరు ఒక జ్వరం ఉందా?,"No Fever (96°F-98.6°F),Minor Fever (98.6°F-102°F),High Fever (>102°F),Don’t Know","['कोई बुखार नहीं (96°F - 98.6°F)', 'साधारण बुखार (98.6°F - 102°F)', 'तेज बुखार (> 102 °F)', 'पता नहीं']","['తోబుట్టువుల జ్వరం (96 ° F - 98.6 ° F)', 'ఆర్డినరీ జ్వరం (98.6 ° F - 102 ° F)', 'హై జ్వరం (> 102 ° F)', 'డోంట్ నో']"
3,cold,multiple,Any cold related symptoms?,सर्दी या जुकाम संबंधित लक्षण? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),చల్లని లేదా ఫ్లూ సంబంధిత లక్షణాలు? (బటన్ ప్రెస్ పంపడానికి అన్ని తగిన ఎంపికలను ఎంచుకోండి),"running nose,cough,sore throat,sneezing,none of these","['बहता नाक', 'खांसी', 'गले में खराश', 'छींक आना', 'इनमें से कोई नहीं']","['ముక్కు రన్నింగ్', 'దగ్గు', 'గొంతు', 'తుమ్ముకు', 'ఇవి ఏవీ']"
4,breathing,multiple,Any breathing related challenges?,फेफड़े या सांस लेने से संबंधित चुनौतियां? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),ఊపిరితిత్తుల లేదా శ్వాస సంబంధించిన సవాళ్లను? (బటన్ ప్రెస్ పంపడానికి అన్ని తగిన ఎంపికలను ఎంచుకోండి),"Shortness of breath,Difficulty in breathing,Continuous pain in the chest, none of these","['सांस फूलना', 'सांस लेने में दिक्कत', 'छाती में सतत दर्द', 'इनमें से कोई नहीं']","['ఊపిరి', 'సమస్యలు శ్వాస', 'గుండెలో నిరంతర నొప్పి', 'ఇవి ఏవీ']"
5,travel,single,Have you or your closed one travelled internationally in last 1 month?,आप या आपके साथ रहने वाले लोग ने पिछले 1 महीने में विदेश यात्रा की है?,లేదా మీరు నివసించే ప్రజలు గత 1 నెల విదేశాలలో పర్యటించి?,"Yes,No","['हाँ', 'नहीं']","['అవును', 'కాదు']"
6,exposure,single,Did you come in close contact with any infected person or someone who travelled abroad recently,"संभावित तौर पे क्या आप किसी भी संक्रमित व्यक्ति या हाल ही में विदेश से आये हुए 
व्यक्ति के निकट संपर्क में आये हो?","సమర్థవంతంగా మీరు విదేశాలలో ఏ సోకిన వ్యక్తి నుండి వచ్చిన లేదా ఇటీవల చెల్లించడానికి
వ్యక్తి సన్నిహిత సంబంధాన్ని వచ్చారు?","Yes,No","['हाँ', 'नहीं']","['అవును', 'కాదు']"
7,ailments,multiple,Are you suffering from long term ilness?,लंबे समय की कोई बीमारी से पीड़ित हैं? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),దీర్ఘ ఒక వ్యాధి నుండి బాధపడుతున్నారా? (బటన్ ప్రెస్ పంపడానికి అన్ని తగిన ఎంపికలను ఎంచుకోండి),"Hypertension(BP),Diabetes,Asthma,Heart disease,Kidney disease, none of these","['ब्लड प्रेशर (BP)', 'डायबिटीज', 'दमा', 'दिल की बीमारी', 'गुर्दे की बीमारी', 'इनमें से कोई नहीं']","['రక్తపోటు (బిపి)', 'డయాబెటిస్', 'ఆస్తమా', 'హార్ట్ వ్యాధి', 'కిడ్నీ వ్యాధి', 'ఇవి ఏవీ']"
8,progress,single,How has your condition changed over last 2 days?,पिछले 2 दिन में आपका स्वास्थ्य कैसा रहा है?,గత రెండు రోజుల్లో మీ ఆరోగ్యం ఎలా ఉంది?,"Health improved,Health worsened, No change in health","['स्वास्थ्य में सुधार', 'स्वास्थ्य खराब हो गई', 'स्वास्थ्य में कोई परिवर्तन नहीं']","['ఆరోగ్య మెరుగుపరచడానికి', 'ఆరోగ్యం చెడు వెళ్ళింది', 'ఆరోగ్య ఎటువంటి మార్పు']"
9,contact,single,Before the lockdown how many people do you meet daily?,लॉकडाउन से पहले आप दैनिक तौर पे कितने लोगों से मिलते थे?,మూసివేత ముందు ఎంత మంది రోజువారీ వచ్చాయి?,"less than 5,5-10,10-20,more than 20","['5 से कम', '5-10', '10-20', '20 से अधिक']","['5 కన్నా తక్కువ', '5-10', '10-20', '20 కంటే ఎక్కువ']"
10,nature,single,Select nature of your profession,आपके व्यवसाय की प्रकृति,మీ వ్యాపార స్వభావం,"['Student', 'Housewife', 'un-employeed', 'Business Owner', 'Retail shop', 'IT job', 'bank', 'teacher', 'sales/marketing', 'doctor/medical staff', 'Others']","['छात्र', 'गृहिणी', 'बेरोज़गार', 'व्यापारी', 'रिटेल स्टोर', 'IT', 'बैंक', 'शिक्षक', 'सेल्स / मार्केटिंग', 'डॉक्टर / मेडिकल स्टाफ', 'अन्य']","['విద్యార్థి', 'housewife', 'నిరుద్యోగులు', 'Trader', 'రిటైల్ దుకాణాలు', 'ఐటి', 'బ్యాంక్', 'టీచర్', 'సేల్స్ / మార్కెటింగ్', 'డాక్టర్ / వైద్య సిబ్బంది', 'ఇతర']"
11,profession,text,Describe your profession,आपका पेशा उल्लेख करें,మీ వృత్తి వివరించండి,text,['टेक्स्ट'],['టెక్స్ట్']
12,extra,multiple,Do u have any below symotoms?,इनमे से कोई लक्षण? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),ఈ లక్షణాలు ఏ? (బటన్ ప్రెస్ పంపడానికి అన్ని తగిన ఎంపికలను ఎంచుకోండి),"vomiting,blood vomiting,Diarrohea,weakness,none of these","['उल्टी', 'खून उल्टी', 'दस्त', 'दुर्बलता', 'इनमें से कोई नहीं']","['వాంతులు', 'వాంతి రక్త', 'విరేచనాలు', 'దుర్బలత్వం', 'ఇవి ఏవీ']"
13,medication,multiple,Are you taking medications for any of the following?,आप निम्न में से किसी के लिए दवा ले रहे हैं? (सारे उचित विकल्प चुन कर सेंड बटन दबाये),మీరు క్రింది ఏ మందులు తీసుకొని ఉంటే? (బటన్ ప్రెస్ పంపడానికి అన్ని తగిన ఎంపికలను ఎంచుకోండి),"Chemotherapy, Radiotherapy, TB, Pneumonia, Organ transplant","['कीमोथेरपी', 'रेडियोथेरेपी', 'टीबी', 'निमोनिया', 'अंग प्रत्यारोपण']","['కీమోథెరపీ', 'రేడియోథెరపీ', 'TB', 'న్యుమోనియా', 'అవయవ మార్పిడి']"
14,immunity,single,How would you guage your immunity?,अनुमान से आप की रोग प्रतिरोधक शक्ति कैसी है?,రకం వ్యాధి నిరోధక మీరు అంచనా?,"Low Immunity, Medium Immunity, Good immunity","['कम रोग प्रतिरोधक शक्ति', 'साधारण रोग प्रतिरोधक शक्ति', 'अच्छी रोग प्रतिरोधक शक्ति']","['తక్కువ రోగనిరోధక', 'సాధారణ రోగనిరోధక శక్తిని', 'బాగా వ్యాధినిరోధక శక్తి']"
